#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
1.8168 0 0.030657
1.8192 0 0.0314202
1.8216 0 0.0294485
1.824 0 0.0314626
1.8264 0 0.0324803
1.8288 0 0.0315474
1.8312 0 0.0313354
1.8336 0 0.0306146
1.836 0 0.0315474
1.8384 0 0.0323531
1.8408 0 0.0309538
1.8432 0 0.0319926
1.8456 0 0.0326499
1.848 0 0.0312506
1.8504 0 0.0326287
1.8528 0 0.0313142
1.8552 0 0.0324803
1.8576 0 0.0337099
1.86 0 0.0323531
1.8624 0 0.0318866
1.8648 0 0.032035
1.8672 0 0.030975
1.8696 0 0.0319078
1.872 0 0.0328407
1.8744 0 0.0336463
1.8768 0 0.0334979
1.8792 0 0.0346852
1.8816 0 0.031187
1.884 0 0.0338159
1.8864 0 0.0318442
1.8888 0 0.0324167
1.8912 0 0.032035
1.8936 0 0.0339431
1.896 0 0.0328619
1.8984 0 0.0326923
1.9008 0 0.0333071
1.9032 0 0.0343672
1.9056 0 0.0330951
1.908 0 0.0333919
1.9104 0 0.0347912
1.9128 0 0.0350668
1.9152 0 0.0334343
1.9176 0 0.034876
1.92 0 0.034346
1.9224 0 0.0346852
1.9248 0 0.034452
1.9272 0 0.0334979
1.9296 0 0.0337311
1.932 0 0.0348548
1.9344 0 0.0341552
1.9368 0 0.0344732
1.9392 0 0.0360633
1.9416 0 0.0344732
1.944 0 0.0344308
1.9464 0.00181897 0.0345368
1.9488 0 0.0351516
1.9512 0 0.0341976
1.9536 0 0.0357665
1.956 0 0.0363389
1.9584 0 0.0348124
1.9608 0.00181897 0.0339643
1.9632 0 0.034982
1.9656 0.00181897 0.0364025
1.968 0.00181897 0.034558
1.9704 0 0.0354272
1.9728 0.00181897 0.0353636
1.9752 0 0.0359573
1.9776 0.00181897 0.0370597
1.98 0.00181897 0.035406
1.9824 0 0.0350244
1.9848 0.00181897 0.0365509
1.9872 0 0.0368689
1.9896 0 0.0364449
